pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
6744,Rainmeter.exe,2023-05-23 09:18:39,16,0.0,running,32,9.928704,16,DESKTOP-ML12QO1\shell
6948,chrome.exe,2023-05-23 14:24:08,16,0.0,running,64,105.996288,27,DESKTOP-ML12QO1\shell
7000,RuntimeBroker.exe,2023-05-23 10:04:26,16,0.0,running,32,0.610304,4,DESKTOP-ML12QO1\shell
7124,svchost.exe,2023-05-23 09:17:40,0,0.0,running,0,0.0,7,N/A
7200,svchost.exe,2023-05-23 10:04:14,16,0.0,running,32,0.524288,6,DESKTOP-ML12QO1\shell
7240,chrome.exe,2023-05-23 13:08:27,16,0.0,running,64,1.241088,21,DESKTOP-ML12QO1\shell
7476,StartMenuExperienceHost.exe,2023-05-23 09:18:22,16,0.0,running,32,9.322496,22,DESKTOP-ML12QO1\shell
7496,Widgets.exe,2023-05-23 09:18:22,16,0.0,running,32,5.439488,13,DESKTOP-ML12QO1\shell
7520,PhotosService.exe,2023-05-23 10:05:54,16,0.0,running,32,0.6144,3,DESKTOP-ML12QO1\shell
7596,chrome.exe,2023-05-23 13:08:26,16,0.0,running,64,0.954368,21,DESKTOP-ML12QO1\shell
7616,chrome.exe,2023-05-23 09:50:36,16,0.0,running,32,0.602112,7,DESKTOP-ML12QO1\shell
7632,svchost.exe,2023-05-23 09:18:21,0,0.0,running,0,0.0,11,N/A
7672,SearchIndexer.exe,2023-05-23 09:18:25,0,0.0,running,0,0.0,77,N/A
7732,chrome.exe,2023-05-23 09:50:47,16,0.0,running,64,7.80288,28,DESKTOP-ML12QO1\shell
7740,svchost.exe,2023-05-23 09:17:45,0,0.0,running,0,0.0,4,N/A
7760,chrome.exe,2023-05-23 10:24:33,16,0.0,running,64,0.9216,21,DESKTOP-ML12QO1\shell
7784,svchost.exe,2023-05-23 09:17:45,0,0.0,running,0,0.0,16,N/A
7816,chrome.exe,2023-05-23 09:50:41,16,0.0,running,32,3.784704,21,DESKTOP-ML12QO1\shell
7836,Video.UI.exe,2023-05-23 09:48:07,16,0.0,stopped,32,0.106496,16,DESKTOP-ML12QO1\shell
7892,Code.exe,2023-05-23 16:30:18,16,0.0,running,32,57.266176,54,DESKTOP-ML12QO1\shell
7900,chrome.exe,2023-05-23 09:50:41,16,0.0,running,64,132.734976,30,DESKTOP-ML12QO1\shell
7920,chrome.exe,2023-05-23 09:50:36,16,0.0,running,32,26.136576,15,DESKTOP-ML12QO1\shell
8004,svchost.exe,2023-05-23 09:18:20,0,0.0,running,0,0.0,7,N/A
8032,lghub_updater.exe,2023-05-23 09:17:49,0,0.0,running,0,0.0,35,N/A
8208,chrome.exe,2023-05-23 10:30:31,16,0.0,running,64,0.929792,21,DESKTOP-ML12QO1\shell
8212,chrome.exe,2023-05-23 09:50:41,16,0.0,running,32,69.67296,25,DESKTOP-ML12QO1\shell
8296,SearchHost.exe,2023-05-23 09:18:22,16,0.0,stopped,32,187.846656,73,DESKTOP-ML12QO1\shell
8336,svchost.exe,2023-05-23 09:18:21,0,0.0,running,0,0.0,9,N/A
8384,ai.exe,2023-05-23 09:57:06,16,0.0,running,32,0.135168,18,DESKTOP-ML12QO1\shell
8440,explorer.exe,2023-05-23 09:18:21,16,0.0,running,32,77.889536,91,DESKTOP-ML12QO1\shell
8584,RuntimeBroker.exe,2023-05-23 09:48:07,16,0.0,running,32,0.483328,2,DESKTOP-ML12QO1\shell
